,UserID,Title,ISBN,Rating
4096,3,"Growing Up Nuts, vol. 2",,2
4097,3,"Growing Up Nuts, vol. 3",,2
4098,3,"Wish, Vol. 03",9781591820611.0,4
4099,3,Merajut Cahaya: Kumpulan Cerpen Terbaik Annida,,3
4100,3,Anima 8,9781598163544.0,3
4101,3,"Suki: A like story, Vol. 01",9781591827603.0,4
4102,3,Beniko's First Kiss,9789792303292.0,2
4103,3,Eternal Flower,,4
4104,3,Plus One,,3
4105,3,"Vampire Knight, Vol. 5",9781421519548.0,4
4106,3,"Love Attack, Volume 2",9781427802958.0,4
4107,3,"Love Attack, Volume 3",9781427802965.0,4
4108,3,"Special A, Vol. 02",9781421515670.0,4
4109,3,Lady Oscar kids 1,9788874712458.0,3
4110,3,The Cornered Mouse Dreams of Cheese,,4
4111,3,"Goong, Palace Story, Volume 7",,4
4112,3,"The Summit, Volume 1",9781933809533.0,4
4113,3,Boku Wa Imōto Ni Koi O Suru 4,9784091385222.0,5
4114,3,Boku Wa Imōto Ni Koi O Suru 6,9784091385246.0,5
4115,3,Otona No Jikan 6,9784091307453.0,3
4116,3,Otona No Jikan 4,9784091304292.0,4
4117,3,Otona No Jikan 5,9784091305572.0,4
4118,3,Otona No Jikan 2,9784091302328.0,4
4119,3,Otona No Jikan 3,9784091303097.0,4
4120,3,Otona No Jikan 1,9784091301420.0,4
4121,3,Bara No Tame Ni,9784091344816.0,4
4122,3,片恋の月 [Katakoi no Tsuki],9784091302496.0,2
4123,3,September Storm,9789792316254.0,3
4124,3,The First One,,2
4125,3,"Magic Tower Pass, vol. 2",,2
4126,3,Dialog dengan Jin Muslim,,3
4127,3,レンアイ至上主義 1,9784091354259.0,3
4128,3,レンアイ至上主義 2,9784091354266.0,3
4129,3,レンアイ至上主義 3,9784091354273.0,3
4130,3,"悪魔なエロス, Vol. 01 [Akuma na Eros]",,3
4131,3,Sakuraryō Māchi,9784088474335.0,3
4132,3,"むちゃくちゃ大好き。[Mucha Kucha Daisuki], Vol. 4",9784091352071.0,3
4133,3,"むちゃくちゃ大好き。[Mucha Kucha Daisuki], Vol. 3",9784091352064.0,3
4134,3,"むちゃくちゃ大好き。[Mucha Kucha Daisuki], Vol. 2",9784091352057.0,3
4135,3,"むちゃくちゃ大好き。[Mucha Kucha Daisuki], Vol. 1",9784091352040.0,3
4136,3,楽園 [Rakuen],9784396762919.0,4
4137,3,Wasiat Terakhir Bapak,,2
4138,3,Priestess,9781569314067.0,3
4139,3,"Life, Vol. 3",9781595329332.0,4
4140,3,"Life, Vol. 9",9781598161960.0,4
4141,3,"Spiral: The Bonds of Reasoning, Vol. 11",,4
4142,3,"Fight Me, Love Me! Vol. 1",9789792306019.0,3
4143,3,"Fight Me, Love Me! Vol. 2",9789792306026.0,3
4144,3,Harry Potter and the Prisoner of Azkaban,9781408845660.0,3
4145,3,Wanted,9781421519340.0,4
4146,3,"Alice 19th, Vol. 6",9781591162438.0,3
4147,3,Di Atas Sajadah Cinta,,4
4148,3,Dalam Mihrab Cinta,9789793210940.0,4
4149,3,"Totally Captivated, Volume 2",9781600092947.0,5
4150,3,"Totally Captivated, Volume 3",9781600092954.0,5
4151,3,"Mars, Vol. 3",9781591820543.0,3
4152,3,"Mars, Vol. 5",9781591820567.0,3
4153,3,"Mars, Volume 15",9781591821342.0,3
4154,3,"Mars, Vol. 2",9781931514590.0,4
4155,3,The Cat Mummy,9780440864165.0,3
4156,3,"Monkey High!, Vol. 3",9781421515649.0,3
4157,3,"Monkey High!, Vol. 2",9781421515199.0,3
4158,3,"Skip Beat!, Vol. 14",9781421517544.0,3
4159,3,"Skip Beat!, Vol. 13",9781421517537.0,3
4160,3,"Mars, Vol. 1",9781931514583.0,3
4161,3,Cinta Brontosaurus,9789797800598.0,2
4162,3,Lelaki Terindah,,4
4163,3,名探偵コナン 5,9784091233752.0,3
4164,3,名探偵コナン 2,9784091233721.0,3
4165,3,名探偵コナン 11,9784091250414.0,3
4166,3,"Hero Heel, Volume 02",9781569708361.0,3
4167,3,"Kamikaze Kaito Jeanne, Vol. 5",9781401205591.0,4
4168,3,A Kiss for My Prince: Volume 3,9781596970663.0,3
4169,3,YORU GA OWARANAI,,3
4170,3,News 6:30,,2
4171,3,IELTS Testbuilder 1,9781405014045.0,4
4172,3,Ayat-Ayat Cinta,,4
4173,3,Yurara's Moon Vol. 5,9789792308723.0,2
4174,3,"Junjo Romantica, Volume 06",9781598167245.0,4
4175,3,"Magic Tower Pass, vol. 1",,2
4176,3,"Monkey High!, Vol. 1",9781421515182.0,3
4177,3,"Hai, Miiko! 12",9789792308358.0,3
4178,3,"Hai, Miiko! 13",9789792308365.0,3
4179,3,"Hai, Miiko! 14",,3
4180,3,"Hai, Miiko! 15",,3
4181,3,"Hai, Miiko! 16",9789792308525.0,3
4182,3,"Special A, Vol. 5",,4
4183,3,"Appare Jipangu, Volume 1",,2
4184,3,0 の奏香師 [0 no Soukoushi],9784592187646.0,4
4185,3,Cinta Sejati Blue (Forever Blue) - Navy Seals Series Book 4,9792214771.0,4
4186,3,Bujangan Terakhir | One Bachelor to Go,,3
4187,3,"Hunter x Hunter, Vol. 21",9781421517889.0,3
4188,3,Hari-Hari Cinta Tiara,,3
4189,3,名探偵コナン 14,9784091250445.0,3
4190,3,名探偵コナン 3,9784091233738.0,3
4191,3,Eclipse,9780316160209.0,2
4192,3,Number the Stars,9780440227533.0,3
4193,3,Topeng Kaca - Bidadari Merah 8,,4
4194,3,Topeng Kaca 5,,4
4195,3,Welcome to Camp Nightmare,9780439568463.0,3
4196,3,ガーベラ [Gābera],9784086001762.0,4
4197,3,Misteri Kekasih Dua Saudara,,3
4198,3,The Amber Room,,4
4199,3,Misteri Rahasia Enam Wanita,,3
4200,3,Just Around the Corner,9781934129234.0,5
4201,3,"Mink, Vol. 5",9781595324238.0,2
4202,3,"Mink, Vol. 6",9781595324245.0,2
4203,3,"Mink, Vol. 4",9781591827184.0,2
4204,3,Princess in Love,9780064472807.0,2
4205,3,Love Celeb 1,9783770468942.0,4
4206,3,Love Celeb 2,9783770468959.0,4
4207,3,"V.B. Rose, Volume 1",9781427803306.0,3
4208,3,"V.B. Rose, Volume 2",9781427803313.0,3
4209,3,"V.B. Rose, Volume 3",9781427803320.0,3
4210,3,Ketika Mas Gagah Pergi,,4
4211,3,Hingga Batu Bicara,,3
4212,3,Our Graduation,,3
4213,3,"My Senior, 1-2",,3
4214,3,Rainbow Scramble,,4
4215,3,Walt Disney's Dumbo,9780736423090.0,4
4216,3,Dumbo,,3
4217,3,"Spiral: The Bonds of Reasoning, Vol. 03",9780759526372.0,4
4218,3,Penyihir Cilik,,3
4219,3,Harry Potter and the Order of the Phoenix,,3
4220,3,Chiko's Wish,,2
4221,3,Cokelat & Mint,,3
4222,3,Your Long Hair in the Wind,,3
4223,3,Hot Shout 1,,3
4224,3,Hot Shout 2,,3
4225,3,Love Arrow,,3
4226,3,"Mint Na Bokura, Vol. 04",,5
4227,3,"Mint Na Bokura, Vol. 05",,5
4228,3,"Mint Na Bokura, Vol. 06",,5
4229,3,My Boy  X  My Love,,4
4230,3,Pada-Mu Aku Bersimpuh,,3
4231,3,"MeruPuri, Vol. 3",9781421502212.0,4
4232,3,Teddy Bear,,3
4233,3,Sakura,,3
4234,3,My Knight,,4
4235,3,Angel Kiss,,5
4236,3,Si Jamin dan Si Johan,,5
4237,3,e-love: Kisah Cinta Pertama Lewat Internet,,2
4238,3,"Ouran High School Host Club, Vol. 4",9781421501925.0,4
4239,3,"Ouran High School Host Club, Vol. 3",9781421500621.0,4
4240,3,Suami Rahasia,,4
4241,3,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,9780446359405.0,3
4242,3,Kesaksian Seorang Dokter,,3
4243,3,"Bleach, Volume 08",9781591168720.0,3
4244,3,IT'S CALLED LOVE,,3
4245,3,Tears of Love,,4
4246,3,Caramel Milk Tea,,2
4247,3,The Minds of Billy Milligan,9780394519432.0,3
4248,3,Pasangan (Jadi) Jadian,9789792235388.0,2
4249,3,Seluas Langit Biru,,4
4250,3,Breaking Dawn,9780316067928.0,2
4251,3,Harry Potter and the Deathly Hallows,,5
4252,3,Lagak Jakarta: 100 'Tokoh' yang Mewarnai Jakarta,9789799100993.0,3
4253,3,Siapa Sebenarnya Soeharto,,2
4254,3,Homunculus 4,9783770466672.0,5
4255,3,"Tall, Thin and Blonde",9781844286348.0,2
4256,3,Perfume: The Story of a Murderer,9780140120837.0,3
4257,3,Satu Hari Berani dan cerita-cerita lain,9789792235289.0,3
4258,3,"Hunter X Hunter, tome 09",9782871293248.0,3
4259,3,Handsome Girl 01,9783770462872.0,3
4260,3,The Da Vinci Code,,4
4261,3,Homunculus 3,9783770465804.0,5
4262,3,Homunculus 2,9783770465798.0,5
4263,3,Homunculus 6,9783770468140.0,5
4264,3,Family Complex,9781569707715.0,3
4265,3,The Tales of Beedle the Bard,9780747599876.0,4
4266,3,Lady Mitsuko,,5
4267,3,The Teashop Girls,9786029498769.0,2
4268,3,"Skip Beat!, Vol. 15",9781421519524.0,3
4269,3,"Skip Beat!, Vol. 16",9781421520407.0,3
4270,3,Harry Potter and the Goblet of Fire,,5
4271,3,Impian Moira,9789792216608.0,2
4272,3,Vampire Breath,9780590568869.0,3
4273,3,"Monkey High!, Vol. 4",9781421517445.0,3
4274,3,"Nodame Cantabile, Vol. 15",9780345503329.0,4
4275,3,Beauty and The Best,,3
4276,3,Kartun Benny & Mice: Talk About Hape,9789792690132.0,4
4277,3,Princess in the Spotlight,9780064472791.0,2
4278,3,"Spiral: The Bonds of Reasoning, Vol. 04",9780759528345.0,4
4279,3,The Cartoon Guide to Physics,9780062731005.0,3
4280,3,Bronze - Zetsuai since 1989 Bd. 14,9783551761347.0,5
4281,3,ファインダーの標的キャラクターズブック [Finder no Hyouteki Characters Book],9784862632791.0,5
4282,3,Deception Point,9780671027384.0,3
4283,3,Night of the Living Dummy,9780439568401.0,3
4284,3,"Hikaru no Go, Vol. 13: First Professional Match",9781421515090.0,3
4285,3,Chicken Soup for the Kid's Soul,9780613171359.0,4
4286,3,Senpai To Kanojo 2,9784063414271.0,3
4287,3,Chicken Soup for the Teenage Soul II,9781558746169.0,3
4288,3,Sad Love Story - 슬픈연가 5,,5
4289,3,Sad Love Story 2,9783866071131.0,5
4290,3,Sidang Susila,,3
4291,3,Kepak Sayap Patah,,3
4292,3,Pesantren Impian,,3
4293,3,The Secret Garden,9780517189603.0,4
4294,3,Fantasy,,2
4295,3,Cerise!,,2
4296,3,1/2 Fairy,,2
4297,3,Good Luck Hijiri,,2
4298,3,Brilliant Magic,,4
4299,3,A Hundred Love,,3
4300,3,Dunia Cermin,,2
4301,3,Get Up & Go!,,3
4302,3,Great Dish Up! - Sutekini Dish Up!,,2
4303,3,Lady Oscar,,5
4304,3,Love Hurts,,5
4305,3,Kidung Kupu-kupu Putih,,3
4306,3,"Silver Diamond, Volume 1: Silver Seed",9781427809650.0,4
4307,3,Silver Diamond 3,9783551765338.0,4
4308,3,Silver Diamond 2,,4
4309,3,New Moon,,2
4310,3,Mantra Cinta,,2
4311,3,Miss Rain,9789796375684.0,3
4312,3,Misteri Toko Bahagia,,4
4313,3,My Best Rival is My Best Friend,,3
4314,3,My Brothers,,5
4315,3,My Dear,,5
4316,3,Twilight,9780316015844.0,2
4317,3,ルールズ 3 [RULES 3],9784199603419.0,2
4318,3,ルールズ 2 [RULES 2],9784199603358.0,2
4319,3,The Guy Next Door - Pria Impian di Sebelah Rumah,9789792203288.0,3
4320,3,Bisikan dari Langit,,3
