,Title,Author,Year,Rating,Raters,Genres
907,The It Girl (Hardcover),Ruth Ware,2022,3.89,78971,"Mystery,Thriller,Thriller,Fiction,Audiobook,Suspense,Adult,Mystery,Contemporary,Adult Fiction"
908,Clap When You Land (Hardcover),Elizabeth Acevedo,2020,4.26,85886,"Young Adult,Poetry,Contemporary,Fiction,Audiobook,LGBT,Realistic Fiction,LGBT,LGBT,Family"
909,The Invisible Man (Paperback),H.G. Wells,1897,3.64,175013,"Classics,Science Fiction,Fiction,Horror,Fantasy,Audiobook,Literature,Novels,Literature,Science Fiction Fantasy"
910,The Emperor of All Maladies: A Biography of Cancer (Hardcover),Siddhartha Mukherjee,2010,4.32,93319,"Nonfiction,Science,History,Health,Medical,Health,Science,Audiobook,Biography,Science"
911,The Light We Lost (Hardcover),Jill Santopolo,2017,3.87,135477,"Romance,Fiction,Contemporary,Womens Fiction,Audiobook,Adult,Adult Fiction,Romance,Book Club,Novels"
912,The Second Sex (Paperback),Simone de Beauvoir,1949,4.15,37584,"Feminism,Nonfiction,Philosophy,Classics,Womens,Gender,Cultural,Sociology,Politics,Gender"
913,So You Want to Talk About Race (Hardcover),Ijeoma Oluo,2018,4.51,97540,"Nonfiction,Race,Audiobook,Social Movements,Race,Politics,Sociology,Writing,Feminism,Adult"
914,Cutting for Stone (Hardcover),Abraham   Verghese,2009,4.3,358517,"Fiction,Historical,Cultural,Book Club,Health,Eastern Africa,Medical,Literary Fiction,Novels,Historical"
915,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary (Paperback)",Simon Winchester,1998,3.84,111997,"Nonfiction,History,Biography,Humanities,Writing,Historical,Crime,Audiobook,Humanities,Biography Memoir"
916,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,1892,4.3,278438,"Classics,Mystery,Fiction,Short Stories,Mystery,Mystery,Thriller,Audiobook,Literature,Historical"
917,You Deserve Each Other (Kindle Edition),Sarah Hogle,2020,3.95,81672,"Romance,Contemporary,Romance,Adult,Fiction,Womens Fiction,Audiobook,Humor,New Adult,Adult Fiction"
918,"As Good As Dead (A Good Girl's Guide to Murder, #3)",Holly  Jackson,2021,4.19,103958,"Mystery,Young Adult,Thriller,Thriller,Fiction,Contemporary,Audiobook,Mystery,Mystery,Romance"
919,Fairy Tale (Hardcover),Stephen King,2022,4.23,62257,"Fantasy,Horror,Fiction,Audiobook,Thriller,Adult,Science Fiction,Adventure,Science Fiction Fantasy,Young Adult"
920,"Anna Dressed in Blood (Anna, #1)",Kendare Blake,2011,3.91,102971,"Young Adult,Horror,Fantasy,Fantasy,Paranormal,Romance,Fantasy,Fiction,Fantasy,Mystery"
921,As I Lay Dying (Paperback),William Faulkner,1930,3.72,154274,"Classics,Fiction,Literature,Novels,Literature,Academic,Gothic,Literary Fiction,Literature,American"
922,Essentialism: The Disciplined Pursuit of Less (Hardcover),Greg McKeown,2011,4.04,89333,"Nonfiction,Self Help,Business,Productivity,Self Help,Psychology,Philosophy,Audiobook,Leadership,Business"
923,The Girl with the Louding Voice (Hardcover),Abi Daré,2020,4.45,122540,"Fiction,Contemporary,Cultural,Feminism,Audiobook,Literary Fiction,Adult,Western Africa,Adult Fiction,Young Adult"
924,The Girl with the Louding Voice (Hardcover),Abi Daré,2020,4.45,122540,"Fiction,Contemporary,Cultural,Feminism,Audiobook,Literary Fiction,Adult,Western Africa,Adult Fiction,Young Adult"
